chain,wallet_normalized,top10_count,tokens,meme_ids,star_level,score
solana,HXpJhVrbdGvnaPh2zpex7boUGX1qiRTL5ZNhmV76pBpC,1,$ZCAT,3,⭐,1
solana,HYWo71Wk9PNDe5sBaRKazPnVyGnQDiwgXCFKvgAQ1ENp,1,$MOODENG,14,⭐,1
solana,HcRLc9VDgjLeK154xDawfb1dmVJ98DoSqcwTHGqiDeJR,1,$ZCAT,3,⭐,1
solana,Hot2JiR82hBQpzcfuQHtTFw28Z3FbDRugRFzm2gMzGzt,1,$POPCAT,10,⭐,1
solana,Hq8MmCBFavX2GooSCk9XFp4Whue3wmC3jaZqk1zDgSXx,1,$BONK,6,⭐,1
solana,XLVeg1ajQtps3eMTGyp9qYpMMvdYufjduTdzvvHAJ6p,1,$BONK,6,⭐,1
solana,fo26sASaPQAfWFfzxWFDZCTejTw7oetnD69RyQdLh3v,1,$MOODENG,14,⭐,1
solana,gtagyESa99t49VmUqnnfsuowYnigSNKuYXdXWyXWNdd,1,$STONK,2,⭐,1
solana,hJniqwePiys9yzJ4pfoBxDzSEkf6Vr27GtGTHMcuQgG,1,$BONK,6,⭐,1
solana,j1oAbxxiDUWvoHxEDhWE7THLjEkDQW2cSHYn2vttxTF,1,$TROLL,12,⭐,1
solana,j1oeQoPeuEDmjvyMwBmCWexzCQup77kbKKxV59CnYbd,1,$PENGU,5,⭐,1
solana,kpqUj83k4ieDRZjh7HMqrjkb5tkn84xy642t4Zm1WKe,1,$BONK,6,⭐,1
solana,rU1QtUr7evZ1JLBB2cvp1ASpTNJoENGAxcahx53PNsm,1,$ZCAT,3,⭐,1
solana,rvj7Dc3xGh1eVFw9UTRpkxks9cdYyJd4MQk4Bk9zA9b,1,$POPCAT,10,⭐,1
base,0xabb2acd3be814a80e502575d6c1dc5f789e9cd10,2,"$BASECAT, $BLUECHIP","2, 3",⭐⭐,3
base,0x698dd6c03b50c3d4af12932a0388338bcdd3aaed,2,"$BLUECHIP, $STONKEX","3, 4",⭐⭐,3
base,0x18dd3c14e34c1bc379f7538068c59160d9f68e25,1,$BASECAT,2,⭐,1
base,0x331d9a049d496385998067abf6cbb6371c8d2466,1,$BASECAT,2,⭐,1
base,0x511808449be470efaf4131838b2d4998500a6f72,1,$BASECAT,2,⭐,1
base,0x728f51950ff096dc03a48f5e83f45ac8bb75f500,1,$BASECAT,2,⭐,1
base,0xa67d7eb4dc68fa6ce8e34ef8cadaf075b9893fbb,1,$BASECAT,2,⭐,1
base,0xca7ded7e4f4ba8ab3b10009236ae6d1b95094589,1,$BASECAT,2,⭐,1
base,0xd0d08887e8a5b16049534a7f3fc1de92848f5bea,1,$BASECAT,2,⭐,1
base,0xd747659f504684ce5ea0337a0b56e1f80863a90d,1,$BASECAT,2,⭐,1
base,0xee5df865073aa636022ac7347987582f5f8385e4,1,$BASECAT,2,⭐,1
base,0x2b23525618d38aff20efbf00bf3d12d023b1c910,1,$BLUECHIP,3,⭐,1
base,0x2c074c8879daf87ba6fe6874b5485fcd2b217d21,1,$BLUECHIP,3,⭐,1
base,0x6bb205e46aa65e859498d789bd1c958192b91799,1,$BLUECHIP,3,⭐,1
base,0xaf04dee72b2bc4d77c20f75adecc45cb30ac698b,1,$BLUECHIP,3,⭐,1
base,0xbf004bff64725914ee36d03b87d6965b0ced4903,1,$BLUECHIP,3,⭐,1
base,0xd01fe03aba9eb73ff92e2b64e22daf99458e4f54,1,$BLUECHIP,3,⭐,1
base,0xf23817f6d701f514861fe44371756e3226de8fef,1,$BLUECHIP,3,⭐,1
base,0xf9c4d5f4a1ffc3d4c5c1ee7b91aa839dd2537d80,1,$BLUECHIP,3,⭐,1
base,0x0708af787e0301a81167adc531a78d35428bf8ab,1,$BRETT,5,⭐,1
base,0x4e829f8a5213c42535ab84aa40bd4adcce9cba02,1,$BRETT,5,⭐,1
base,0x5c70b3f22595caf8314f77dabc628363aaee18ad,1,$BRETT,5,⭐,1
base,0x5e73cb1ba8a0bdc566696b95bc17415eb4b2a1b5,1,$BRETT,5,⭐,1
base,0x7a9e464a71d5ae6f4c1c1be233b10f7222413df0,1,$BRETT,5,⭐,1
base,0x923fa08911a973bd0d7d00672746007da2d66cd5,1,$BRETT,5,⭐,1
base,0x9b4da8243fced2f6b0ea59c098ccc6724f309ea0,1,$BRETT,5,⭐,1
base,0xa8e1a4640cfc3d4d5173215602a550a37ce99698,1,$BRETT,5,⭐,1
base,0xea414cc980c0e2cbff426db3ba2da2ae73b30643,1,$BRETT,5,⭐,1
base,0xeb2eb5c68156250c368914761bb8f1208d56acd0,1,$BRETT,5,⭐,1
base,0x005547a7f9531758260b62898f3d8825107c1a7a,1,$DEGEN,7,⭐,1
base,0x3190902db86cfd47bfa99fa337a9bb3078361a3d,1,$DEGEN,7,⭐,1
base,0x3e0954d9b32f823aff2f66173ffed5f453dedd93,1,$DEGEN,7,⭐,1
base,0x8d7bed73c38a090b1ce18511a9a33f6c76afb9db,1,$DEGEN,7,⭐,1
base,0xa74d6f7e781dd175c4d2d1a9cfee2f986f90dc63,1,$DEGEN,7,⭐,1
base,0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa,1,$DEGEN,7,⭐,1
base,0xd1e0535ad6c2318772191f52013896616685f2a0,1,$DEGEN,7,⭐,1
base,0xe01b292f79d5843d2f6f91ae98588b8f312b772f,1,$DEGEN,7,⭐,1
base,0xf25e04145a727ad7f84180722219493709aa37b1,1,$DEGEN,7,⭐,1
base,0xf70da97812cb96acdf810712aa562db8dfa3dbef,1,$DEGEN,7,⭐,1
base,0x0b19f10f75104de7b98a70fa8ab979457600aeb7,1,$DRB,8,⭐,1
base,0x139d2fed7122ca82ad2c6c45abd65ddec92e7519,1,$DRB,8,⭐,1
base,0x1eafa03e4160c2b578f895e9c3328c373934defe,1,$DRB,8,⭐,1
base,0x2fe5f48601db92012855b477000cbee3db486e82,1,$DRB,8,⭐,1
base,0x46e894abb9010c3f9aed1e5cfa4788693549a7d3,1,$DRB,8,⭐,1
base,0xa9076b5ba0aa393915cc4143653e7a01b96b5e12,1,$DRB,8,⭐,1
base,0xce1bad52ec021bbc4b0cf3eff93f1ff9cfead40d,1,$DRB,8,⭐,1
base,0xdc7937cd21d7baff6f1a78fc511994d2734e38b4,1,$DRB,8,⭐,1
base,0xeb0bce487b81d6d7319a79c95245ba35601b6767,1,$DRB,8,⭐,1
base,0xed8d51bff7bd2b2b70556a36097f8fb1beb0de6e,1,$DRB,8,⭐,1
base,0x3c4a726d49388df08ba4d4806f2a413c01683ee7,1,$LAPTOP,1,⭐,1
base,0x498581ff718922c3f8e6a244956af099b2652b2b,1,$LAPTOP,1,⭐,1
base,0x8e3bd46d6a5643a317dc0e0ad19bbd77b6480746,1,$LAPTOP,1,⭐,1
base,0x91e9e0f8675c1517551f2e7fb54c20159396a146,1,$LAPTOP,1,⭐,1
base,0x98130ec44634726d931c28bdd67007037dad263d,1,$LAPTOP,1,⭐,1
base,0x99cf3e8bfb02c300312c53aac5d0b082e3d5975c,1,$LAPTOP,1,⭐,1
base,0x9c13d5338a7cd9148ab32ac735f733cb1245422a,1,$LAPTOP,1,⭐,1
base,0xa5019cf0224d21d41437d3cd7648d39a5868282f,1,$LAPTOP,1,⭐,1
base,0xdbe9b801efabfe0d6847eed751c48ccc42108f91,1,$LAPTOP,1,⭐,1
base,0xf7a5ecaa6a9f3a9cb36e14903082f1621454d057,1,$LAPTOP,1,⭐,1
base,0x344daadde53a81f95bcc46a99d39107a509251a1,1,$STONKEX,4,⭐,1
base,0x3e2b153785b3823dd5a10b8c0b37b26e226b4b80,1,$STONKEX,4,⭐,1
base,0x77547b77cc92438b93c5e0fa6b2b5f9e54712fc6,1,$STONKEX,4,⭐,1
base,0x862f187ea8714596e5b85efb170d30cbfb632c6a,1,$STONKEX,4,⭐,1
base,0xa290435b2cfea5b5b293d067b68ad6888f3b3e78,1,$STONKEX,4,⭐,1
base,0xa5a5491bca93dd4c076e4906e79e7673f4a5a142,1,$STONKEX,4,⭐,1
base,0xada5bb90d0de0bd1b6f3938708f49295a8d1f7cb,1,$STONKEX,4,⭐,1
base,0xe209e0047731aa494289e1af9a0d03da19c5ef08,1,$STONKEX,4,⭐,1
base,0xf8b2807ac2f4cb0b296d1293376cef2636a37c9b,1,$STONKEX,4,⭐,1
base,0x06b7705137eead244eb7b94873a7dfe2acdfd234,1,$TOSHI,6,⭐,1
base,0x2e04722381a849b11ab20ebb57961f0e1ec14328,1,$TOSHI,6,⭐,1
base,0x370569843371126b169f35a51141e900f90d5b59,1,$TOSHI,6,⭐,1
base,0x373dfc63eb5f1c29861fc26f91854744b00e68d1,1,$TOSHI,6,⭐,1
base,0x64baeb02876aa58078aa25c1c43b7a5492873559,1,$TOSHI,6,⭐,1
base,0x706b9e61a2611b3d2a6691deacbcdb5cef4fefb7,1,$TOSHI,6,⭐,1
base,0x74e4c08bb50619b70550733d32b7e60424e9628e,1,$TOSHI,6,⭐,1
base,0x9b11d56d21c7963a25e9ddafac5ee0001ba0e3cc,1,$TOSHI,6,⭐,1
base,0xeaef88fe8904959ebede2caf1694b499e56e2269,1,$TOSHI,6,⭐,1
base,0xf5f6a2874c043e27b7d5a6e2a5ef6f192218560d,1,$TOSHI,6,⭐,1
